Title;Why is this important;Region;Taxon;Dataset link;User's contact info;Comments
High Country Citizen Science Project;Citizen scientists document pika distribution by hiking to a designated survey site and observing for five minutes – looking and listening for pikas and their calls. They then traverse the talus for 15 to 30 minutes, documenting the presence of scat, haypiles, pikas, or calls. We ask that participants try to conduct at least three surveys during the field season (on their own time), choosing survey sites based on personal hiking ability and preference. If you would like to learn more about the High Country Citizen Science Project, you can download a copy of the education presentation, using the link below.;North America;Multi-taxa;http://www.nps.gov/glac/naturescience/ccrlc-citizen-science_hc.htm;kcopas;#REF!
Hudson River Eel Project;Goals (eg, restoration, education, research) - education, monitoring, restoration: involves over two hundred diverse community members in shared goals and methodologies to study juvenile eels during their spring migrations from sea to stream;North America;Multi-taxa;http://www.dec.ny.gov/lands/49580.html;kcopas;#REF!
Humingbirds at home;Audubon’s Hummingbirds at Home program was designed to mobilize citizen scientists across the US to bolster current research by documenting the feeding patterns of hummingbirds.;North America;Multi-taxa;http://www.hummingbirdsathome.org/;kcopas;#REF!
Hypogean Crustacea Recording Scheme;Welcome to the Hypogean Crustacea Recording Scheme website. If you would like further information or would like to contribute to this scheme please contact;Europe;Multi-taxa;http://hcrs.freshwaterlife.org/sampling;kcopas;#REF!
I-90 Wildlife Watch;Invites motorists to report wildlife sightings along Interstate 90 (I-90) in the Snoqualmie Pass region of Washington we hope to reduce wildlife-vehicle collisions and enhance the safe passage of wildlife in the future;North America;Animalia;http://i90wildlifewatch.org/;kcopas;#REF!
Illinois Butterfly Monitoring Network;Monitoring the health of butterfly populations throughout northeastern and central Illinois These citizen scientist volunteers come from all walks of life to help in this ongoing program A few people come to the program already knowing many butterflies, but most people begin knowing just a few common species More than 100 sites are now being monitored every year, and the program is being expanded throughout Illinois;North America;Multi-taxa;http://www.bfly.org/index.html;kcopas;#REF!
imapinvasives;The iMapInvasives Partnership facilitates the management and sharing of invasive species information, including extent of infestations, search efforts, and treatment outcomes. Affordable, sustainable, and collaborative tools developed by the Partnership provide a flexible platform for aggregating invasive species data from a wide variety of sources. A total of 10 different provinces and States participate in the network.;North America;Multi-taxa;http://www.imapinvasives.org/contentsharingprotocols.html;kcopas;#REF!
India Biodiversity Portal;This is a aggregation portal that allows many different species observation citizen science groups (55 (past and present?) across India to upload observations;Asia;Plantae;http://www.indiabiodiversity.org/;kcopas;#REF!
International Sea Turtle Observation Registry (iSTOR);The International Sea Turtle Observation Registry is a database of sea turtle sightings to help sea turtle biologists and conservations track and understand the distribution of sea turtles around the world;Global;Mammalia;http://www.seaturtle.org/;kcopas;#REF!
International Waterbird census;The International Waterbird Census (IWC) has run since 1967 and today covers over 25,000 sites in more than 100 countries. In each country national coordinators work with a network of professional and amateur counters to provide waterbird counts to the IWC. In total, more than 15,000 people submit their data annually, making this one of the largest global monitoring schemes largely based on citizen science.;Global;Aves;http://www.wetlands.org/Whatwedo/Biodiversitywaterbirds/InternationalWaterbirdCensusIWC/tabid/773/Default.aspx;kcopas;#REF!
Invaders of Texas;"Seek out and report outbreaks of selected environmentally and economically harmful invasive species; coordinated by resource managers who will coordinate appropriate responses to control the spread of unwanted invaders The Invaders Program is designed to move the target audience beyond awareness to action on invasive species";North America;Multi-taxa;http://texasinvasives.org/;kcopas;#REF!
Invasive Tracers;To help the environment by assisting research that helps to understand the changing planet and to preserve its biodiversity for a healthier environment!;North America;Molluscae;http://www.mikedelaney.org/user/index.htm;kcopas;#REF!
Iowa Butterfly Survey Network;The Iowa Butterfly Survey Network (IBSN) is located at Reiman Gardens with the ultimate goal of educating Iowans about butterflies, while at the same time encourage people to take an active role in conservation. To that end IBSN conducts research using volunteer citizen scientists of all skill levels to collect data for yearly population surveys of butterfly species in the state of Iowa. Volunteers are trained in survey techniques specifically developed for butterflies.;North America;Mammalia;http://www.reimangardens.com/collections/insects/iowa-butterfly-survey-network/;kcopas;#REF!
iSpot;iSpot is a biodiversity observation recording patofrm that leverages comuniy based verfiication of observations. programs exist in many countries of the world.;Global;Plantae;www.ispotnature.org;kcopas;#REF!
Jay Watch: Monitoring Florida's Only Endemic Bird;Jay Watch needs volunteers in Florida to conduct surveys of the charismatic scrub-jay, the only Florida bird species that lives nowhere else on earth Volunteers play recorded, territorial scrub-jay calls to attract the birds, then observe and record the number of family groups, adults and juveniles Volunteers note any band color combinations, helping track individual birds Information is recorded on aerial maps by volunteers in the field and is then computerized Jay Watch tells us where the jays are doing poorly, and where they thrive From these data, maps are created that help land managers decide where and how to improve habitat;North America;Aves;http://www.nature.org/ourinitiatives/regions/northamerica/unitedstates/florida/volunteer/jay-watch-volunteer-to-monitor-florida-scrub-jays.xml;kcopas;#REF!
Jellywatch;Build open access database documenting ocean conditions Submit sightings of jellyfish to the database;Global;Aves;http://www.jellywatch.org/;kcopas;#REF!
Journey North;Journey North is a global Internet-based citizen science program presented by Annenberg Learner, a division of the Annenberg Foundation that allows participants to upload observations about the presence and migration of several species, with a focus on migration of monarchs;North America;Multi-taxa;https://www.learner.org/jnorth/about.html;kcopas;#REF!
Jug Bay Volunteer program;Goals - research, education, stewardship;North America;Animalia, Aves, Plantae;http://www.jugbay.org/research;kcopas;#REF!
Juvenile Lobster Monitoring Program;To measure the health and productivity of lobster nursery habitats over space and time;North America;Multi-taxa;http://lobsters.org/volunt/volunteer.html;kcopas;#REF!
Koala Map;Mapping Koalas in Australia;Oceana;Crustacea;https://www.savethekoala.com/koala-map;kcopas;#REF!
Konza Environmental Education Program: Prarie Phenology;"The Konza Environmental Education Program (KEEP) was established in 1996 Its mission is to: enhance the understanding of the ecology of the tallgrass prairie ecosystem; increase understanding of the process and value of science; and increase public appreciation for the importance of scientific research as a foundation for sound grassland conservation and management";North America;Plantae;http://keep.konza.ksu.edu/;kcopas;#REF!
LabVida estudio de parasitismo en Chiapas, Mexico;Conduct a citizen science project on pest-parasitoid interactions conducted in two middle-school science classrooms in San Cristóbal de Las Casas, Chiapas, Mexico;North America;Amphibia;http://www.citsci.org/cwis438/Browse/Project/Project_Info.php?ProjectID=367;kcopas;#REF!
Lacewings and Allies Recording Scheme;This site aims to provide information, images and identification aids for the 82 species within the orders: Neuroptera, Megaloptera, Raphidioptera and Mecoptera which inhabit the British Isles. The recording scheme will work in collaboration with iRecord to provide data on the distribution of each species. This data will also feed into the National Biodiversity Network.;Europe;Aves;http://lacewings.myspecies.info/;kcopas;#REF!
Landmark trees;Landmark Trees is an outreach ecology and geography project documenting famous, notable, remarkable, interesting, and heritage trees of India.;Asia;Multi-taxa;http://www.outreachecology.com/landmark/overview/about-the-project/;kcopas;#REF!
Leafminers Recording Schemes;This site is the result of an on-going project, set up to photograph and record all the leaf mining fauna which occur in Britain. Use has been made of SLR and Digital cameras, as well as Scanners, in compiling this site. The leaf mining fauna include Coleoptera (beetles), Diptera (flies), Hymenoptera (sawflies) and Lepidoptera (moths).;Europe;Plantae;http://www.leafmines.co.uk/;kcopas;#REF!
LiMPETS: Rocky Intertidal & Sandy BEach Monitoring Programs;"An environmental monitoring and education program for students, educators, and volunteer groups monitor the ocean and coastal ecosystems of California’s national Marine Sanctuaries to increase awareness and stewardship of these important areas ""Our participants [for Rocky Intertidal Project] are trained to survey key invertebrate and algal species along the coast of California"" ""Participants [of Sandy Beach Project] are trained to survey the distribution and abundance of the Pacific mole crab (Emerita analoga) at monitoring sites along the coast of California""";North America;Aves;http://limpetsmonitoring.org/rocky_intertidal.php;kcopas;#REF!
Linking landscapes of Massachusetts Wildlife: Amphibian Roadway Crossing Database // Statewide Roadkill Database // Turtle Roadkill study;"Minimize the impact of the existing road network and nongame wildlife, while improving highway safety; report mass migrations of vernal pool salamanders";North America;Animalia;http://www.linkinglandscapes.info/amphibian-roadway-crossings.html;kcopas;#REF!
Longhorn Beetle Recording Scheme;Pictures and identifications sent via Twitter;Europe;Plantae;https://twitter.com/NLonghornRS;kcopas;#REF!
Lost Ladybug Project;We're asking you to join us in finding out where all the ladybugs have gone so we can try to prevent more NAtive species from becoming so rare;North America;Aves;http://www.lostladybug.org;kcopas;#REF!
Loudoun Wildlife Conservancy;An NGO which supports multiple citizen science programs which are often interlinked with national level efforts. Butterflies are good indicators of habitat and the health of our environment because they need such a diversity of plants to develop and survive Areas that are weedy and wild one year will show an abundance of species while a newly planted lawn (a monoculture) or an area sprayed with pesticides will be a wasteland;North America;Multi-taxa;http://www.loudounwildlife.org/Butterfly_Count.htm;kcopas;#REF!
Maine Audobon;Maine Audubon’s corp of “citizen scientists” provide biologists and resource managers with valuable information. Count loons and bats, listen for frogs and toads and observe wildlife crossings on Maine’s roads – there are lots of ways for you and your whole family to take action and lend a hand (or an eye or an ear) for wildlife.;North America;Plantae;http://maineaudubon.org/about/citizen-science/#;kcopas;#REF!
MA-NH-ME Wetland Worries & Roadside Invasives;This project is focussed on mapping invasive species found in or adjacent to wetlands and are often transorted roasides in Massachusetts, New Hampshire and Maine. Species of major concern are Phragmites (Phragmites australis), Perennial Pepperweed (Lepidium latifolium), Purple Loosestrife (Lythrum salicaria) and Japanese Knotweed (Polyganum cuspidatum).;North America;Annelida;http://www.citsci.org/cwis438/Browse/Project/Project_Info.php?ProjectID=276;kcopas;#REF!
Manomet Center for Conservation Sciences Wetland Watchers;Volunteer network of concerned citizens who survey wetland sites in New York, New Jersey, and Massachusetts to record all wildlife use and habitat status Volunteers adopt a favorite wetland to observe during the year, particularly during the important breeding season, and record the presence of birds and other wildlife, Wetland Watchers also monitor their site's habitat status and report violations of wetland protection laws to local agencies;North America;Multi-taxa;http://www.manomet.org/;kcopas;#REF!
MAPPER;Morphology Analysis Project for Participatory Exploration and Research (MAPPER), you can work side-by-side with NASA scientists to explore the bottom of these lakes from the perspective of a DeepWorker pilot, identifying images on photos;North America;Animalia;http://getmapper.com/index.php;kcopas;#REF!
Mapping Washington Wildlands;The primary goal of this project is to provide up-to-date information on wildlands in the state that be used by the conservation community in efforts to ensure intelligent management of these lands We also hope to draw attention to high conservation priority areas that have the greatest biological significance Some of these areas are not well know and not the subject of current conservation actions;North America;Aves;http://www.pacificbio.org/initiatives/wildlands.html, http://www.pacificbio.org/helpout/volunteer-washington-wildlands.html;kcopas;#REF!
Maritime Butterfly Atlas;The Maritimes Butterfly Atlas is a five-year citizen science project that is ending in 2015. To date nearly 20,000 butterfly records have been submitted by 350 participants.;North America;Insecta;http://www.accdc.com/mba/index-mba.html;kcopas;#REF!
Massachusetts Audubon;American Kestrel Monitoring Project // Oriole Project // Owls Project / Whip-poor-will Project;North America;Mammalia, Plantae;http://www.massaudubon.org/get-involved/citizen-science;kcopas;#REF!
Massachusetts Butterfly Club;The Massachusetts Butterfly Club sponsors state-wide butterfly activities to promote education, conservation, interpretation, and fun! We invite people of all ages and levels of expertise to attend our meetings, programs, field trips, and butterfly counts and tobecome members of our club.;North America;Multi-taxa;http://www.naba.org/chapters/nabambc/;kcopas;#REF!
Mequon Nature Preserve;Mequon Nature Preserve citizen science monitoring projects;North America;Insecta, Plantae;http://mequonnaturepreserve.org/;kcopas;#REF!
Michigan Butterfly Network ;The Michigan Butterfly Network seeks to assess the changing population status of our state’s butterfly species, evaluate the quality of Michigan ecosystems, and engage the Michigan public in significant citizen science research.;North America;Algae;http://www.michiganbutterfly.org/;kcopas;#REF!
Michigan Cooperative Lakes Monitoring Program;1) Provide baseline information and document trends in water quality for individual lakes 2) Educate lake residents, users, and interested citizens in the collection of water quality data, lake ecology, and lake management practices 3) Build a constituency of citizens to practice sound lake management at the local level and build public support for lake quality protection4) Provide a cost-effective process for the DEQ to increase baseline data for lakes state-wide;North America;Mammalia;http://www.micorps.net/lakeoverview.html;kcopas;#REF!
Michigan Sea Grant;Helps lakefront property owners, teachers, commercial enterprises and citizens who use lakes to track the range expansion of zebra mussels as they spread inland from the Great Lakes;North America;Plantae;http://www.miseagrant.umich.edu/;kcopas;#REF!
Migratory Dragonfly Partnership;To better understand and conserve North America's dragonfly migration, dragonfly experts, nongovernmental programs, academic institutions, and federal agencies from the United States, Mexico, and Canada have formed the collaborative Migratory Dragonfly Partnership (MDP). This is part of Odonata Central. Regular monitoring and centralized reporting among participants across three nations will help us answer some of the many questions currently surrounding dragonfly migration and provide information needed to create cross-border conservation programs to protect and sustain the phenomenon. This site will allow you to submit dragonfly migration observations.;North America;Plantae;http://www.migratorydragonflypartnership.org/index/welcome;kcopas;#REF!
Migratory Shorebird Survey;Join this ambitious 10-year, multi-partner research project to help guide shorebird conservation. You will be part of the team protecting shorebirds and wetlands from Alaska to Peru through research for conservation.;North America;Plantae;http://www.migratoryshorebirdproject.org/index.php?page=home-en;kcopas;#REF!
Minnesota Department of Natural Resources;"Frog and Toad Calling Survey // Loon Monitoring Program // Odonata Survey Project // Zebra Mussel Detection Program; Citizen Watch";North America;Insecta;http://www.dnr.state.mn.us/volunteering/frogtoad_survey/index.html;kcopas;#REF!
Mitten CrabWATCH;Determine the current distribution status of the mitten crab in the region;North America;Plantae;http://mittencrab.nisbase.org/;kcopas;#REF!
Monarch Health;Monarch Health is a citizen science project to track the prevalence of the protozoan parasite Ophryocystis elektroscirrha (OE) in monarch butterflies. Monarchs infected with OE may be too weak to emerge properly from their chrysalises and can die at this stage. Or, infected monarchs can look completely normal but cannot fly as well or live as long as healthy monarchs. To check for OE in monarchs, citizen scientists first obtain wild adult monarchs by either catching them or rearing caterpillars until they become adults. Second, citizen scientists can press a clear sticker against each monarchs' abdomen to collect any parasites. Monarchs are then released, totally unharmed. Finally, citizen scientists send samples to the lab at the University of Georgia, where OE parasites are counted under a microscope.;North America;Mammalia;http://www.monarchparasites.org/;kcopas;#REF!
Monarch Larva Monitoring Project;The Monarch Larva Monitoring Project enlists citizen scientists to collect long-term data on larval monarch populations and milkweed habitat. Developed by researchers at the University of Minnesota, the project aims to better understand how and why monarch populations vary in time and space, with a focus on monarch distribution and abundance during the breeding season in North America;North America;Plantae;http://www.mlmp.org/, http://www.mlmp.org/default.aspx;kcopas;#REF!
Monarch Watch;"An outreach program dedicated to engaging the public in studies of monarchs and is now concentrating its efforts on monarch conservation The ""Bring Back the Monarchs"" campaign encourages people to restore milkweeds in natural landscape for monarch habitat The ""Monarch Waystation"" program encourages you to plant milkweeds as resting stations for monarchs on their migration ALSO, have opportunities to tag monarchs, and measure flight vectors";North America;Plantae;http://www.monarchwatch.org/;kcopas;#REF!
Morro Bay Volunteer Monitoring Program;Serves the dual mission of collecting critical data about the health of the watershed and bay, while educating and empowering hundreds of watershed citizens to play a part in understanding and protecting the estuary and watershed;North America;Crustacea, Gastropoda, Plantae;http://www.mbnep.org/Help/phytoplankton.html;kcopas;#REF!
Mothing;Mothing participants can rapidly collect and share vast quantities of high-quality data from numerous study sites with digital photography and online tools.;North America;Animalia;http://www.discoverlife.org/moth/index.html;kcopas;#REF!
Mountain Birdwatch;Mountain Birdwatch is a long-term monitoring program for Bicknell's Thrush and other montane forest birds From the Catskills to Mount Katahdin, trained volunteers conduct dawn surveys along foot trails that pass through some of the region's most awe-inspiring forests The typical time commitment is one to two mornings each June, with overnight camping recommended on remote routes Participants receive training in bird identification, experience the thrill of alpine adventure, and help guide the stewardship of vulnerable mountain habitat;North America;Multi-taxa;http://www.vtecostudies.org/MBW/;kcopas;#REF!
Mountain Watch: Adopt-A-Peak // Flower Monitoring;Volunteers agree to visit a peak or trail section in the Appalachian Mountains periodically during the growing season Volunteers will help track long-term trends in plant flowering, fall foliage, and visibility conditions on the mountain they adopt;North America;Plantae;http://www.outdoors.org/conservation/mountainwatch/adopt-a-peak.cfm;kcopas;#REF!
Mushroom Observer;The purpose of this site is to record observations about mushrooms, help people identify mushrooms they aren’t familiar with, and expand the community around the scientific exploration of mushrooms (mycology);Global;Reptilia;http://mushroomobserver.org/observer/intro;kcopas;#REF!
Mussel Monitoring Program of Wisconsin;Participants throughout Wisconsin are asked to collect freshwater mussel shells or to take photos of live mussels from rivers, lakes, or streams Over half of Wisconsin's 51 native mussel species (also known as clams) are listed as species in greatest need of conservation, or we need information on where they currently occur Threats like habitat alteration (dams, silt) and the presence of invasive mussels (zebra mussels) pose major threats to the existence of our native mussels;North America;Algae, Gastropods, Molluscs, Osteichthyes;http://wiatri.com/inventory/mussels/index.cfm;kcopas;#REF!
MySwan;Conduct research on the behavior and movement of swans;Oceana;Animalia;http://www.myswan.org.au/;kcopas;#REF!
NASA GLOBE;NASA runs the GLOBE program where educators and schools can help collect data globally which are aggregated in a large database. A number of these programs are associated with satelitte missions. recently launched the SMAP (Soil Moisture Active Passive) satellite which is orbiting the globe every three days to measure soil moisture levels. This data will be used to improve weather forecasts, detail water/energy/carbon cycles, monitor droughts, predict floods, and assist crop productivity - See more at: http://scistarter.com/project/1226-NASA%27s%20SMAP%20Satellite%20Mission#sthash.SLZEK2F0.dpuf;Global;Elasmobranchs, Osteichthyes;http://www.globe.gov/do-globe/measurement-campaigns;kcopas;#REF!
National barkfly recording scheme;The Psocoptera (outdoor species)/barkflies recording scheme was started in 2006 with the primary aim of building up as full a picture as possible of the distribution of the species in Britain and Ireland. Knowledge of distribution is necessary to determine their national and local statuses and, in particular, whether any are under sufficient threat to require conservation action.;Europe;Insecta, Plantae;http://www.brc.ac.uk/schemes/barkfly/recording.aspx;kcopas;#REF!
National Bat Monitoring Program;Volunteers are at the very heart of bat conservation in the UK - without their dedication and support, much of our work would not be possible. And you can be part of it!;Europe;Insecta;http://www.bats.org.uk/pages/volunteer_for_bats.html;kcopas;#REF!
National Moth Recoding Scheme;Launched in 2007, the National Moth Recording Scheme (NMRS) has already collated over 20 million current and historical sightings (records) of all macro-moths (larger moths) across the UK, Isle of Man and Channel Islands. It is hoped that, in time, full 'Britain and Ireland' distributions will be available for all species. The new scheme covers some 900 species, with thousands of active recorders, and the enormous dataset of distribution records that is has generated is benefiting nature conservation, public understanding and ecological research.;Europe;Lepidoptera;http://www.mothscount.org/text/27/national_moth_recording_scheme.html;kcopas;#REF!
National Plant Monitoring scheme;The National Plant Monitoring Scheme (NPMS) is a new habitat-based plant monitoring scheme in the UK designed by BSBI, CEH, Plantlife and JNCC. The aim is to collect data to provide an annual indication of changes in plant abundance and diversity.;Europe;Plantae;http://www.npms.org.uk/content/welcome;kcopas;#REF!
Nature Abounds: Watch the Wild & Icewatch;"Nature Abounds supports Icewatch and Watch the Wild™, a program where citizen science volunteers observe and report on the “wild” in your community, from trees and plants to weather and wildlife activity By monitoring the ""wild"", observations can help us to understand how our eco-systems are changing and aids us in adapting for the future Goals- research, education";North America;Multi-taxa;http://www.natureabounds.org/Watch_the_Wild.html;kcopas;#REF!
Nature in the City Biodiversity Project;The Nature in the City Biodiversity Project is a citizen science program to monitor birds and butterflies around Fort Collins. Our goal is to collect long-term ecological data that will help support the Nature in the City Strategic Plan to maintain 'a connected open space network accessible to the entire community that provides a variety of experiences and functional habitat for people, plants, and wildlife.' During the summer of 2015, citizen volunteers will learn about urban wildlife and explore the many natural spaces in Fort Collins as they conduct surveys for birds and butterflies throughout the city.;North America;Plantae;http://www.fcgov.com/planning/natureinthecity/volunteer-biodiversity-project.php;kcopas;#REF!
Nature Share AU;NatureShare is a database for individuals and groups to document and share information about their local environment across Victoria, Australia.;Oceana;Multi-taxa;http://natureshare.org.au/;kcopas;#REF!
NatureMapping Washington and California;The NatureMapping Foundation was established to provide support to the Program and NatureMapping Centers, distribute products, and provide services (eg, bioblitzes, reports, and analyses)The NatureMapping Program's vision is environmental stewardship of communities through school, community, agency, and business partnershipsIts' mission is to protect biodiversity through data collection and dissemiNAtion;North America;Elasmobranchs;http://Naturemappingfoundation.org/;kcopas;#REF!
Nature's Calendar Survey;Nature's Calendar is a survey conducted by thousands of volunteers who record the signs of the seasons in the United Kingdom. This could mean noting the first ladybird or swallow seen in your garden in spring, or the first blackberry in your local wood in autumn;Europe;Elasmobranchs;http://www.naturescalendar.org.uk/;kcopas;#REF!
Nature's Notebook;Providing valuable observations that scientists, educators, policy makers, and resources managers are using to understand how plants and animals are responding to climate change and other environmental changes;North America;Elasmobranchs;http://www.usanpn.org/about;kcopas;#REF!
Neighbourhood nestwatch;Neighborhood Nestwatch is a citizen science program that teaches residents about the migratory birds in their backyards, while collecting hard-to-get data about urbanization impacts on wildlife. What makes Neighborhood Nestwatch so effective and scientifically robust is the face-to-face interaction between participants and Smithsonian scientists when we visit their backyards to band birds every spring. Founded in 2000 by SMBC Director Peter Marra, Neighborhood Nestwatch has grown from 40 backyards around Washington, D.C. to hundreds of yards throughout the United States.;North America;Plantae;http://nationalzoo.si.edu/scbi/migratorybirds/research/neighborhood_nestwatch/;kcopas;#REF!
NestWatch;NestWatch helps people of all ages and backgrounds connect with nature The information that NestWatchers collect allows us to understand the impact that various threats, such as environmental change and habitat destruction, have on breeding birds Armed with this knowledge, we can take the necessary steps to help birds survive in this changing world;North America;Multi-taxa;http://nestwatch.org/about/overview/;kcopas;#REF!
New Hampshire Turkey Observers;NH Fish and Game's winter wild turkey flock survey invites the public to help record sightings of wild turkey flocks in New Hampshire from January to mid-March each year This effort helps biologists assess the impact of winter weather on our turkey population;North America;Multi-taxa;http://www.wildlife.state.nh.us/education/citizen-science.html;kcopas;#REF!
New Hampshire Volunteer Marsh Monitors;The New Hampshire Marsh Monitors volunteer program began in 2003 to evaluate the effectiveness of wetland restoration practices and techniques;North America;Aves;http://des.nh.gov/organization/divisions/water/wmb/coastal/restoration/ecology/volunteer.htm;kcopas;#REF!
New Jersey Audubon CS projects;"To assess changes in abundance and distribution of grasslands bird populations breeding in New Jersey; to determine how habitat and landscape characteristics influence grassland birds so that we can implement sound management strategies";North America;Multi-taxa;http://www.njaudubon.org/SectionCitizenScience/WhatisCitizenScience.aspx;kcopas;#REF!
New York Horseshoe Crab Monitoring Network;Promote conservation of horseshoe crabs in NY State Help collect data around full & new moon evenings May to July;North America;Insecta;http://www.nyhorseshoecrab.org/;kcopas;#REF!
New York-New Jersey Trail Conference - Invasives Strike Force;This project aims to collect invasive plant species data along trails in the New York-New Jersey region.;North America;Aves;"http://www.nynjtc.org/invasives; http://www.citsci.org/cwis438/Browse/Project/Project_Info.php?ProjectID=280";kcopas;#REF!
North American Amphibian Monitoring Program;Volunteers working with the North American Amphibian Monitoring Program help monitor the distributions and abundance of frogs and toads. Amphibian populations throughout the world have been declining as a result of habitat loss and degradation, pollution, disease, increased UV radiation, and the introduction of exotic species. Through long-term monitoring, the program keeps an eye on frog and toad populations so that wildlife researchers and managers can take the proper steps needed to protect them.;North America;Aves;https://www.pwrc.usgs.gov/naamp/index.cfm;kcopas;#REF!
North American Bird Phenology Program;An historic program where volunteers collected data on migratory patterns of birds, now the program uses volunteers to digitize the database of information;North America;Plantae;http://www.pwrc.usgs.gov/bpp/BPP_USA-NPN2.cfm;kcopas;#REF!
North American Butterfly Monitoring Network;An aggregation network of several citizen science efforts to track monarch poplations, including larva, their food and migration and overwintering,;North America;Insecta;http://www.nab-net.org/program/north-american-butterfly-association;kcopas;#REF!
North Carolina Sea Turtle Project;The North Carolina Sea Turtle Project trains volunteers to monitor sea turtle activity along the entire coast of North Carolina All the data collected by the project are organized and disseminated to the state and federal agencies that use the information to make management decisions;North America;Plantae;http://www.seaturtle.org/groups/ncwrc/;kcopas;#REF!
Noxious Weeds Citizen Science Project;Help to determine the extent of noxious weeds invading the park Document the presence of five noxious weeds along 700 miles;North America;Plantae;http://www.nps.gov/glac/naturescience/ccrlc-citizen-science_weeds.htm;kcopas;#REF!
NPS Common Loon Citizen Science Project;The Common Loon Citizen Science Project needs volunteers to conduct surveys at 45 high priority lakes in Glacier National Park to document presence of common loons and observations of breeding and nesting behaviors;North America;Multi-taxa;https://www.nps.gov/glac/learn/ccrlc-citizen-science_loons.htm;kcopas;#REF!
NPS I&E - Camas Citizen Science Monitoring Program;To engage high school volunteers as ‘Citizen Scientists‘ in the long range scientific monitoring of camas populations;North America;Camassia quamash;http://science.nature.nps.gov/im/units/ucbn/monitor/camas_cit_sci.cfm;kcopas;#REF!
NPS I&E - Coastal Breeding Bird Monitoring;The Boston Harbor Islands provide habitat for a significant number of colonial-nesting waterbirds and breeding wading birds The pr otocol focuses on obtaining information on the relative abundance of coastal breeding species by estimating or directly counting all nests, incubating adults, or territorial nesting pairs that breed on islands at Boston Harbor Islands Coastal breeding bird monitoring will also support and inform maNAgement decisions that may affect avian populations AdditioNAl goals are to increase the visibility of the I&M program and to involve the public with the network’s monitoring program;North America;;http://science.nature.nps.gov/im/units/NETN/monitor/birds/cbbirds.cfm;kcopas;#REF!
NSW Bird Atlasers;The NSW Bird Atlassers (NSWBA) was established in 1982 as an independent, volunteer-based, non-profit group with the joint aims of monitoring the distribution of birds in New South Wales and the Australian Capital Territory, preserving habitats, providing a proper basis for environmental impact studies and for other ornithological reference purposes.;Oceana;;http://www.nswbirdatlassers.org.au/about/;kcopas;#REF!
OakMapper;To map oak health in california, with particular interest in Sudden Oak Death;North America;Trees;http://www.oakmapper.org/about;kcopas;#REF!
Observatorie des saisons;This program provides methods for collecting phenology data on plants and animals.;Europe;;http://www.obs-saisons.fr/ressources/kit_ODS;kcopas;#REF!
Odonata Central;A web platform to support recording and infomation about dragonflies and damselfliess across North Ameirca (and beyond?).;North America;Odonata;http://www.odonatacentral.org/index.php/PageAction.get/name/HomePage;kcopas;#REF!
Ohio Lepidopterists Society;The Ohio Lepidopterist Society has been monitoring sites throughout Ohio since 1995.;North America;Lepidoptera;http://www.ohiolepidopterists.org/bflymonitoring/monitoring.html;kcopas;#REF!
Ohio Odonata Society Dragonfly Monitoring;The Ohio Odonata Society needs you to send in photos and specimens of dragonflies and damselflies in Ohio to help advance our understanding of these beautiful creatures This is your chance to help promote knowledge and appreciation of dragonflies and damselflies in Ohio!;North America;Odonata;http://www.marietta.edu/~odoNAta/index.html;kcopas;#REF!
Oklahoma Invasive Plant Council - Okinvasives;To facilitate efficient and effective management of invasive plants for the protection of the economic and natural resources of Oklahoma’s private and public land and water;North America;;http://www.okinvasives.org/;kcopas;#REF!
OPAL explore nature;OPAL is running surveys across the UK to learn more about the state of our environment, and we’d like everyone to get involved.;Europe;;https://www.opalexplorenature.org/surveys;kcopas;#REF!
opendatakit;Open Data Kit (ODK) is a free and open-source set of tools which help organizations author, field, and manage mobile data collection solutions. ODK provides an out-of-the-box solution for users to: Collect the data on a mobile device and send it to a server.;Global;;https://opendatakit.org/use/collect/;kcopas;#REF!
Opentreemap;OpenTreeMap is a collaborative platform for crowdsourced tree inventory, ecosystem services calculations, urban forestry analysis, and community engagement. The ground truthed data links to allometric models of tree base ecosystem service models including carbon sequestration. Azavea is a B Corporation that creates civic geospatial software and data analytics. Our mission is to apply geospatial technology for civic and social impact and to advance the state-of-the-art through research.;Global;;https://www.opentreemap.org/;kcopas;#REF!
Operation RubyThroat: The Hummingbird Project;"Through EarthTrek, Operation RubyThroat seeks data about two aspects of Ruby-throated Hummingbird behavior: 1) Timing of migration; and 2) Nesting In addition to providing much-needed baseline information, over time your data may help show whether these RTHU behaviors are changing, perhaps due to exterNAl factors such as climate change, alteration of habitat, etc";North America;Ruby throated hummingbird;http://goearthtrek.com/ORT/ORT3.html;kcopas;#REF!
ornitho.de / ornitho.lu;Portal to collent data of birds in Germany and Luxembourg;Europe;;ornitho.de;kcopas;#REF!
ornitho.fr;Portal to collent data of birds in France;Europe;;ornitho.fr;kcopas;#REF!
Osprey NestWatch - Volunteer Monitoring Program;Involve park staff, local birdwatchers and school groups in gathering NAtural resource data A greater number of people keeping an eye on nests helps make osprey monitoring more cost-effective Collect long-term monitoring data on osprey nest and productivity Keep park staff and the public informed about the status and trends of osprey reproduction at Lake Roosevelt NRA;North America;Osprey;http://science.nature.nps.gov/im/units/ucbn/monitor/osprey/nestwatch/index.cfm;kcopas;#REF!
